freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.371e+01,3.931e+01,6.870e+02,7.600e+02
1.5,1.323e+02,7.910e+01,4.774e+02,6.888e+02
3.1,1.484e+02,7.520e+01,1.441e+02,3.677e+02
4.6,1.469e+02,7.074e+01,4.249e+02,6.425e+02
6.1,1.524e+02,8.092e+01,1.293e+03,1.526e+03
7.6,1.578e+02,8.404e+01,2.104e+03,2.345e+03
9.2,1.573e+02,7.997e+01,3.082e+03,3.319e+03
10.7,1.808e+02,8.331e+01,4.504e+03,4.768e+03
12.2,2.058e+02,1.147e+02,6.238e+03,6.559e+03
13.7,2.671e+02,1.243e+02,5.796e+03,6.188e+03
15.3,2.686e+02,1.018e+02,5.508e+03,5.878e+03
16.8,2.312e+02,9.463e+01,7.000e+03,7.326e+03
18.3,2.500e+02,9.297e+01,8.917e+03,9.260e+03
19.8,2.523e+02,8.680e+01,1.146e+04,1.180e+04
21.4,2.267e+02,9.314e+01,1.450e+04,1.482e+04
22.9,1.971e+02,9.509e+01,1.813e+04,1.842e+04
24.4,1.915e+02,9.817e+01,2.111e+04,2.140e+04
25.9,1.850e+02,9.440e+01,2.387e+04,2.415e+04
27.5,1.498e+02,9.448e+01,2.715e+04,2.739e+04
29.0,1.426e+02,9.723e+01,3.076e+04,3.100e+04
30.5,1.239e+02,9.907e+01,3.482e+04,3.504e+04
32.0,1.232e+02,1.136e+02,3.961e+04,3.984e+04
33.6,1.134e+02,1.401e+02,4.539e+04,4.565e+04
35.1,1.126e+02,1.733e+02,5.162e+04,5.190e+04
36.6,1.147e+02,2.112e+02,5.954e+04,5.987e+04
38.2,1.232e+02,2.483e+02,6.853e+04,6.890e+04
39.7,1.284e+02,3.541e+02,7.937e+04,7.986e+04
41.2,1.226e+02,5.507e+02,1.033e+05,1.039e+05
42.7,1.263e+02,7.965e+02,1.232e+05,1.241e+05
44.3,1.541e+02,1.070e+03,1.246e+05,1.258e+05
45.8,2.341e+02,1.537e+03,1.368e+05,1.386e+05
47.3,2.566e+02,1.945e+03,1.672e+05,1.694e+05
48.8,2.420e+02,2.320e+03,2.017e+05,2.043e+05
50.4,2.639e+02,3.456e+03,2.409e+05,2.446e+05
51.9,3.219e+02,6.387e+03,3.223e+05,3.290e+05
53.4,7.879e+02,1.393e+04,4.410e+05,4.557e+05
54.9,2.570e+03,3.004e+04,5.310e+05,5.636e+05
56.5,7.434e+03,6.402e+04,6.243e+05,6.957e+05
58.0,1.590e+04,1.208e+05,8.060e+05,9.427e+05
59.5,1.800e+04,1.545e+05,1.278e+06,1.450e+06
61.0,1.338e+04,1.519e+05,2.136e+06,2.301e+06
62.6,1.188e+04,1.498e+05,2.932e+06,3.094e+06
64.1,1.200e+04,1.223e+05,3.043e+06,3.177e+06
65.6,1.426e+04,8.171e+04,2.628e+06,2.724e+06
67.1,1.952e+04,4.964e+04,2.142e+06,2.211e+06
68.7,2.323e+04,3.264e+04,1.793e+06,1.849e+06
70.2,2.313e+04,3.006e+04,1.584e+06,1.637e+06
71.7,2.162e+04,2.868e+04,1.389e+06,1.439e+06
73.2,1.919e+04,2.610e+04,1.192e+06,1.237e+06
74.8,1.627e+04,2.337e+04,1.025e+06,1.064e+06
76.3,1.348e+04,2.036e+04,8.882e+05,9.221e+05
77.8,1.238e+04,1.667e+04,7.767e+05,8.058e+05
79.4,1.401e+04,1.251e+04,6.981e+05,7.246e+05
80.9,1.606e+04,9.397e+03,6.433e+05,6.687e+05
82.4,1.716e+04,7.320e+03,5.920e+05,6.165e+05
83.9,1.875e+04,6.673e+03,5.543e+05,5.797e+05
85.5,2.076e+04,5.790e+03,5.254e+05,5.520e+05
87.0,2.317e+04,5.429e+03,5.093e+05,5.379e+05
88.5,2.569e+04,6.068e+03,4.952e+05,5.269e+05
