freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.512e+01,4.498e+02,2.545e+01,5.604e+02
1.5,1.254e+02,2.944e+02,1.042e+02,5.240e+02
3.1,9.133e+01,6.802e+01,1.211e+02,2.805e+02
4.6,8.539e+01,3.716e+02,1.323e+02,5.893e+02
6.1,8.578e+01,1.328e+03,1.301e+02,1.544e+03
7.6,9.366e+01,2.345e+03,1.376e+02,2.577e+03
9.2,1.059e+02,4.057e+03,1.472e+02,4.310e+03
10.7,1.198e+02,6.672e+03,1.509e+02,6.942e+03
12.2,1.628e+02,5.547e+03,2.306e+02,5.940e+03
13.7,2.228e+02,3.727e+03,3.086e+02,4.258e+03
15.3,2.970e+02,5.588e+03,2.227e+02,6.107e+03
16.8,3.257e+02,7.751e+03,1.644e+02,8.241e+03
18.3,3.298e+02,9.868e+03,1.592e+02,1.036e+04
19.8,2.778e+02,1.232e+04,1.634e+02,1.277e+04
21.4,2.244e+02,1.550e+04,1.568e+02,1.588e+04
22.9,1.618e+02,2.057e+04,1.540e+02,2.089e+04
24.4,1.439e+02,2.666e+04,1.744e+02,2.698e+04
25.9,1.571e+02,3.414e+04,1.925e+02,3.449e+04
27.5,1.754e+02,4.470e+04,1.883e+02,4.506e+04
29.0,2.421e+02,5.818e+04,1.858e+02,5.861e+04
30.5,3.264e+02,7.021e+04,1.972e+02,7.074e+04
32.1,4.380e+02,7.805e+04,2.261e+02,7.871e+04
33.6,6.468e+02,9.495e+04,2.583e+02,9.585e+04
35.1,1.082e+03,1.325e+05,3.276e+02,1.339e+05
36.6,1.950e+03,1.974e+05,4.334e+02,1.998e+05
38.2,3.876e+03,3.054e+05,6.442e+02,3.100e+05
39.7,7.888e+03,4.618e+05,1.009e+03,4.707e+05
41.2,1.463e+04,6.689e+05,1.269e+03,6.848e+05
42.7,2.420e+04,8.442e+05,1.155e+03,8.695e+05
44.3,3.312e+04,9.065e+05,1.203e+03,9.408e+05
45.8,3.895e+04,9.008e+05,1.713e+03,9.415e+05
47.3,4.097e+04,8.302e+05,2.223e+03,8.734e+05
48.8,3.910e+04,6.947e+05,2.718e+03,7.365e+05
50.4,3.860e+04,5.818e+05,3.114e+03,6.236e+05
51.9,4.701e+04,5.572e+05,3.251e+03,6.075e+05
53.4,5.851e+04,5.534e+05,3.552e+03,6.155e+05
54.9,7.157e+04,5.447e+05,3.941e+03,6.202e+05
56.5,8.854e+04,5.392e+05,4.581e+03,6.323e+05
58.0,1.175e+05,5.546e+05,5.375e+03,6.775e+05
59.5,1.624e+05,5.913e+05,6.207e+03,7.600e+05
61.1,1.897e+05,5.605e+05,6.893e+03,7.571e+05
62.6,1.808e+05,4.509e+05,7.168e+03,6.389e+05
64.1,1.554e+05,3.287e+05,7.235e+03,4.914e+05
65.6,1.374e+05,2.383e+05,7.331e+03,3.830e+05
67.2,1.327e+05,1.771e+05,7.213e+03,3.170e+05
68.7,1.364e+05,1.393e+05,6.260e+03,2.820e+05
70.2,1.469e+05,1.201e+05,6.059e+03,2.731e+05
71.7,1.599e+05,1.065e+05,7.095e+03,2.734e+05
73.3,1.556e+05,8.258e+04,8.122e+03,2.463e+05
74.8,1.322e+05,5.859e+04,8.183e+03,1.990e+05
76.3,1.095e+05,4.548e+04,7.526e+03,1.625e+05
77.8,8.879e+04,3.869e+04,6.560e+03,1.340e+05
79.4,7.139e+04,3.577e+04,6.478e+03,1.136e+05
80.9,5.828e+04,3.397e+04,7.057e+03,9.930e+04
82.4,4.913e+04,3.071e+04,8.563e+03,8.841e+04
83.9,4.830e+04,2.823e+04,1.115e+04,8.768e+04
85.5,5.080e+04,2.692e+04,1.503e+04,9.276e+04
87.0,5.300e+04,2.562e+04,1.913e+04,9.775e+04
88.5,5.515e+04,2.426e+04,2.181e+04,1.012e+05
90.1,5.842e+04,2.396e+04,2.935e+04,1.117e+05
91.6,6.398e+04,2.430e+04,4.365e+04,1.319e+05
93.1,6.838e+04,2.541e+04,2.462e+04,1.184e+05
94.6,7.460e+04,3.047e+04,1.889e+04,1.240e+05
96.2,8.160e+04,3.981e+04,1.922e+04,1.406e+05
97.7,8.714e+04,5.270e+04,1.763e+04,1.575e+05
99.2,9.229e+04,6.783e+04,1.337e+04,1.735e+05
100.7,9.436e+04,8.426e+04,8.638e+03,1.873e+05
102.3,8.467e+04,9.618e+04,6.111e+03,1.870e+05
103.8,6.386e+04,9.557e+04,5.416e+03,1.648e+05
105.3,4.554e+04,9.152e+04,3.960e+03,1.410e+05
106.8,3.534e+04,9.411e+04,3.461e+03,1.329e+05
108.4,2.256e+04,8.654e+04,2.865e+03,1.120e+05
109.9,1.119e+04,7.007e+04,2.097e+03,8.336e+04
111.4,5.090e+03,5.273e+04,1.189e+03,5.901e+04
113.0,2.570e+03,3.954e+04,5.411e+02,4.265e+04
114.5,1.456e+03,3.013e+04,3.443e+02,3.193e+04
116.0,1.202e+03,2.338e+04,4.109e+02,2.500e+04
117.5,1.128e+03,1.832e+04,8.015e+02,2.025e+04
119.1,1.111e+03,1.401e+04,1.391e+03,1.651e+04
120.6,1.153e+03,9.512e+03,1.311e+03,1.198e+04
122.1,2.246e+03,5.685e+03,1.212e+03,9.143e+03
123.6,4.135e+03,4.245e+03,1.320e+03,9.700e+03
125.2,6.735e+03,4.659e+03,1.346e+03,1.274e+04
126.7,7.120e+03,4.057e+03,1.640e+03,1.282e+04
128.2,6.438e+03,3.573e+03,2.199e+03,1.221e+04
129.7,6.273e+03,3.184e+03,2.769e+03,1.223e+04
131.3,5.668e+03,2.391e+03,3.048e+03,1.111e+04
132.8,3.271e+03,1.302e+03,2.144e+03,6.717e+03
134.3,5.209e+02,4.214e+02,1.123e+03,2.065e+03
135.8,2.491e+02,4.701e+02,1.520e+03,2.239e+03
137.4,3.024e+02,6.432e+02,2.169e+03,3.114e+03
138.9,3.817e+02,7.538e+02,1.945e+03,3.080e+03
140.4,4.478e+02,6.676e+02,1.072e+03,2.188e+03
142.0,4.350e+02,5.802e+02,7.266e+02,1.742e+03
143.5,4.300e+02,6.690e+02,1.185e+03,2.284e+03
145.0,4.622e+02,8.498e+02,1.854e+03,3.166e+03
146.5,4.811e+02,1.050e+03,2.336e+03,3.867e+03
148.1,4.443e+02,1.089e+03,2.192e+03,3.725e+03
149.6,4.020e+02,9.674e+02,1.577e+03,2.946e+03
151.1,3.399e+02,8.463e+02,1.070e+03,2.256e+03
152.6,2.567e+02,7.880e+02,7.080e+02,1.753e+03
154.2,2.200e+02,7.246e+02,5.232e+02,1.468e+03
155.7,1.913e+02,6.811e+02,3.840e+02,1.256e+03
157.2,1.623e+02,5.752e+02,2.962e+02,1.034e+03
158.7,1.604e+02,4.949e+02,3.198e+02,9.751e+02
160.3,1.872e+02,6.149e+02,3.351e+02,1.137e+03
161.8,2.215e+02,7.588e+02,3.950e+02,1.375e+03
